::1 - Tue Jun 03 2025 01:04:13 GMT+0800 (Philippine Standard Time) - GET / HTTP/1.1 500 35 - 2 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:04:25 GMT+0800 (Philippine Standard Time) - GET /index.js HTTP/1.1 404 35 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:05:02 GMT+0800 (Philippine Standard Time) - GET /index.js HTTP/1.1 404 35 - 5 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:05:31 GMT+0800 (Philippine Standard Time) - GET /health HTTP/1.1 200 115 - 1 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:05:32 GMT+0800 (Philippine Standard Time) - GET /api/employees HTTP/1.1 200 - - 67 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:05:32 GMT+0800 (Philippine Standard Time) - GET /api/departments HTTP/1.1 200 986 - 17 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:05:34 GMT+0800 (Philippine Standard Time) - GET /api/stats HTTP/1.1 200 - - 10 - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:12:25 GMT+0800 (Philippine Standard Time) - GET /api/stats HTTP/1.1 200 - - 5 http://localhost:3001/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:12:25 GMT+0800 (Philippine Standard Time) - GET /api/stats HTTP/1.1 304 - - 3 http://localhost:3001/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:12:26 GMT+0800 (Philippine Standard Time) - GET /favicon.ico HTTP/1.1 200 - - 13 http://localhost:3001/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:15:58 GMT+0800 (Philippine Standard Time) - GET /main.d3998b351acf57f04257.hot-update.json HTTP/1.1 404 35 - 1 http://localhost:3001/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:15:58 GMT+0800 (Philippine Standard Time) - GET /api/stats HTTP/1.1 304 - - 3 http://localhost:3001/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:15:58 GMT+0800 (Philippine Standard Time) - GET /api/stats HTTP/1.1 304 - - 3 http://localhost:3001/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:15:58 GMT+0800 (Philippine Standard Time) - GET /api/stats HTTP/1.1 304 - - 4 http://localhost:3001/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
::1 - Tue Jun 03 2025 01:15:58 GMT+0800 (Philippine Standard Time) - GET /api/stats HTTP/1.1 304 - - 3 http://localhost:3001/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36
